"word","definition","example_sentence","difficulty_level","difficulty_name","etymology","language_origin","pronunciation","pronunciation_ipa","pronunciation_tips","common_misspellings","audio_url","source_name","source_url","source_difficulty","source_year","definition_source","etymology_source","pronunciation_source","example_source"
"award","A judgment, sentence, or final decision. Specifically: The decision of arbitrators in a case submitted.","The word ___ is important to understand.","1","Beginner","From , from , from , from  + , ; see ward, guard, regard.","","","/əˈwɔːd/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"aware","Vigilant or on one's guard against danger or difficulty.","The word ___ is important to understand.","1","Beginner","From , , , , from , from , from , from , from . Cognate with , , , .","","","/əˈweːɹ/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"awe","A feeling of fear and reverence.","The word ___ is important to understand.","1","Beginner","From  or .<ref></ref> Cognates include , , , ","","","/ɔ/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"awesome","Short for awesomeness: the quality, state, or essence of being awesome.","The word ___ is important to understand.","2","Elementary","
From ; compare earlier  and , from .

The oldest meaning of ''awesome'' is of “something which inspires awe”, but the word is now also a common colloquial expression.  It was originally so used in the United States, where it had featured strikingly in the 1970 film '''', as used by Japan's Admiral  to describe the ""awesome"" industrial potential of the United States. Consequently, as the word popularly  became an expression for anything , in its original meaning it has tended to be replaced by t","Was","","/ˈɔːsəm/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"awfully","Badly, terribly.","The word ___ is important to understand.","2","Elementary","From .","","","/ˈɔːfli/","Remember the double L","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"awkwardly","In an awkward manner; with discomfort or lack of coordination.","The word ___ is important to understand.","4","Advanced","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"awry","Turned or twisted toward one side; crooked, distorted, out of place; wry.","The word ___ is important to understand.","1","Beginner","
From , . .","","","/ˈɔ.ɹi/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"awryb","","","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"axiomatic","Self-evident or unquestionable.","The word ___ is important to understand.","3","Intermediate","From , from |nocat=1}}.","","","/ˌæk.si.əˈmæt.ɪk/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"axis","An imaginary line around which an object spins (an axis of rotation) or is symmetrically arranged (an axis of symmetry).","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/ˈæksəs/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"axle","Shoulder.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/ˈæksəl/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Claude","Dictionary API","Claude"
"aye","Ever, always","The word ___ is important to understand.","1","Beginner"," .","","","/aɪ/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"ayurvedic","Pertaining to or characteristic of Ayurveda.","The word ___ is important to understand.","3","Intermediate","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Claude","","Claude"
"azedarach","","","1","Beginner","From , from , from , from , from .","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Wiktionary","",""
"azorestankard","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Claude","",""
"azotea","","","2","Elementary",", from .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"aztec","","","1","Beginner",".","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Wiktionary","",""
"azulejo","A painted tin-glazed ceramic tile of a kind found in Spain and Portugal, often arranged to form geometric patterns.","The word ___ is important to understand.","2","Elementary","Borrowed from .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"azulejoorganized","","","5","Expert","Etymology uncertain","","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"baby","A very young human, particularly from birth to a couple of years old or until walking is fully mastered.","The word ___ is important to understand.","1","Beginner","

From , , a diminutive form of , equivalent to . Perhaps ultimately imitative of baby talk (compare ). <ref></ref>","","","/ˈbeɪbi/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"baccate","","","2","Elementary","From , from  + , see .","","","","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"bachelorette","An unmarried woman.","The word ___ is important to understand.","4","Advanced","From . Displaced ''maid''.","","","/batʃələˈɹɛt/","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"back","The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly.","The word ___ is important to understand.","1","Beginner",".","","","/bæk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"backgammon","A board game for two players in which each has 15 stones which move between 24 triangular points according to the roll of a pair of dice; the object is to move all of one's pieces around, and bear them off the board.","The word ___ is important to understand.","4","Advanced","Probably from  + , from .","","","/ˈbæk.ɡæm.ən/","Remember the double M","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"backgammonintuitable","","","5","Expert","Contains Latin suffix '-able' meaning 'capable of'","","","","Remember the double M","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Claude","",""
"background","One's social heritage, or previous life; what one did in the past.","The word ___ is important to understand.","2","Elementary",".","","","/ˈbæk.ɡɹaʊnd/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"bacteriolytic","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"badger","Any mammal of three subfamilies, which belong to the family Mustelidae: Melinae (Eurasian badgers), Mellivorinae (ratel or honey badger), and Taxideinae (American badger).","The word ___ is important to understand.","2","Elementary","From .","","","/ˈbædʒə/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/badger-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"badgerbailiff","","","4","Advanced","Etymology uncertain","","","","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"badinage","Playful raillery; banter.","The word ___ is important to understand.","2","Elementary","Borrowed from , from the verb  from , from . Distantly related to .","The","","/ˌbæd.ɪ.ˈnɑːdʒ/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"baggy","Of clothing, very loose-fitting, so as to hang away from the body.","The word ___ is important to understand.","1","Beginner",".","","","/ˈbæɡi/","Remember the double G","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"bagpipe","To play the bagpipes.","The word ___ is important to understand.","2","Elementary","From .","","","/ˈbæɡˌpaɪp/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"bagwyn","","","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"bahamas","","","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"bahr","","","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"bahuvrihi","","","3","Intermediate",", itself an example of a bahuvrihi.","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Wiktionary","",""
"bahuvrihipanjandrum","","","5","Expert","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"bailiff","(law enforcement) An officer of the court, particularly:","The word ___ is important to understand.","2","Elementary","From , , from  and  (plural ), probably from , from , whence also . As a translation of foreign titles, , , , etc. Mostly replaced the role of native . .","","","/ˈbeɪlɪf/","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"bailiffinfiltrate","","","5","Expert","Etymology uncertain","","","","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"bailiwick","The district within which a bailie or bailiff has jurisdiction.","The word ___ is important to understand.","4","Advanced","From  and , from .","","","/ˈbeɪ.lɪ.wɪk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"bailly","","","2","Elementary",".","","","","Remember the double L","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"bakery","A shop in which bread (and often other baked goods such as cakes) is baked and/or sold.","The word ___ is important to understand.","2","Elementary","From . Replaced earlier . Originally “place for making bread”; as “shop where baked goods are sold”, it was noted as an Americanism by British travelers by 1832.<ref></ref>

<!-- were Swedish/Danish bageri calqued from English or vice versa? what is the history? -->","English","","/ˈbeɪ.kə.ɹi/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
